year,state_abbr,state_name, population , violent_crime , homicide , rape , robbery , aggravated_assault 
2016,UT,Utah,3044321,7406,74,1560,1528,4244
2016,VA,Virginia,8414380,18495,482,2830,4826,10357
2016,VT,Vermont,623354,851,14,170,78,589
2016,WA,Washington,7280934,22101,195,3133,5649,13124
2016,WI,Wisconsin,5772917,17716,232,2005,4707,10772
2016,WV,West Virginia,1828637,6633,85,684,720,5144
2016,WY,Wyoming,584910,1431,20,206,59,1146
2017,AK,Alaska,739786,6338,62,1074,952,4250
2017,AL,Alabama,4875120,25469,419,2001,4233,18816
2017,AR,Arkansas,3002997,16996,249,2140,1998,12609
2017,AZ,Arizona,7048876,35647,422,3622,7440,24163
2017,CA,California,39399349,178597,1830,14724,56625,105418
2017,CO,Colorado,5615902,20901,222,4021,3868,12790
2017,CT,Connecticut,3573880,8190,105,850,2813,4422
2017,DC,District of Columbia,695691,6976,116,444,2625,3791
2017,DE,Delaware,957078,4377,51,351,1082,2893
2017,FL,Florida,20976812,85606,1057,7936,18597,58016
2017,GA,Georgia,10413055,37118,681,2646,9844,23947
2017,HI,Hawaii,1424203,3577,39,567,1077,1894
2017,IA,Iowa,3143637,9038,98,1305,1269,6366
2017,ID,Idaho,1718904,4111,42,755,222,3092
2017,IL,Illinois,12786196,55777,983,5424,17731,31639
2017,IN,Indiana,6660082,26307,413,2612,7035,16247
2017,KS,Kansas,2910689,11654,134,1504,1633,8383
2017,KY,Kentucky,4453874,10292,265,1817,2967,5243
2017,LA,Louisiana,4670818,25986,576,1850,5385,18175
2017,MA,Massachusetts,6863246,24318,172,2199,4874,17073
2017,MD,Maryland,6024891,30321,558,1712,11189,16862
2017,ME,Maine,1335063,1610,23,470,249,868
2017,MI,Michigan,9976447,44883,569,7110,6508,30696
2017,MN,Minnesota,5568155,13345,114,2405,3627,7199
2017,MO,Missouri,6108612,32450,599,2737,6362,22752
2017,MS,Mississippi,2989663,7661,190,658,2492,4321
2017,MT,Montana,1053090,3937,41,639,234,3023
